"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AMBUJACEM","EQ","21-Jun-2022","        357.30","        358.10","        360.95","        358.10","        358.20","        358.90","        359.31","    3693727","          1327189999.75","      24320","    2151121","         58.24"
"AMBUJACEM","EQ","22-Jun-2022","        358.90","        358.90","        358.90","        355.50","        358.20","        357.95","        357.26","    2588905","           924919307.60","      37042","    1289432","         49.81"
"AMBUJACEM","EQ","23-Jun-2022","        357.95","        358.40","        362.00","        358.05","        359.00","        358.95","        359.56","    2799410","          1006551503.35","      20350","    1177558","         61.29"
"AMBUJACEM","EQ","24-Jun-2022","        358.95","        362.00","        362.00","        359.20","        360.50","        360.60","        360.60","    2713333","           978434071.15","      18749","    1486431","         54.78"
"AMBUJACEM","EQ","27-Jun-2022","        360.60","        362.25","        365.70","        360.50","        365.25","        365.15","        363.80","    3073581","          1118180790.85","      36375","    2051279","         66.74"
"AMBUJACEM","EQ","28-Jun-2022","        365.15","        365.85","        367.35","        363.50","        366.55","        366.45","        365.95","    4285971","          1568440064.45","      40338","    2746357","         64.08"
"AMBUJACEM","EQ","29-Jun-2022","        366.45","        364.95","        367.50","        364.10","        365.25","        365.50","        365.92","    4586257","          1678217424.95","      27321","    2596887","         56.62"
"AMBUJACEM","EQ","30-Jun-2022","        365.50","        365.55","        365.95","        362.10","        363.10","        363.00","        364.16","    4383329","          1596246522.20","      30006","    3221933","         73.50"
"AMBUJACEM","EQ","01-Jul-2022","        363.00","        363.95","        368.60","        362.10","        367.50","        367.55","        365.91","    2763265","          1011094441.95","      39579","    1374773","         49.75"
"AMBUJACEM","EQ","04-Jul-2022","        367.55","        366.95","        369.90","        366.05","        368.20","        368.55","        368.38","    2275112","           838110442.65","      21081","    1375119","         60.44"
"AMBUJACEM","EQ","05-Jul-2022","        368.55","        368.95","        371.25","        365.60","        365.85","        366.65","        368.56","    3120800","          1150207659.30","      19334","    2166075","         69.41"
